"","Name","Season","Apps","Mins","Assists","KeyP","AvgP","PS","Crosses","LongB","ThrB","Rating","Team.x","Meta","Team.y","Cost"
"2256","Moussa Sissoko",2014,"34",3032,2,1.3,38.9,79.1,0.4,1,0.2,6.92,"Newcastle United","M(CR)",NA,NA
"2257","Moussa Sissoko",2015,"37",3223,7,1.5,37.4,76,1.1,1.1,0.1,7.04,"Newcastle United","M(CR)",NA,NA
"2258","Ramires",2010,"22(7)",1943,0,0.7,34.9,84.3,0.2,2.2,0.1,7.06,"Chelsea","M(CR)","chelsea-fc",7650000
"2259","Ramires",2011,"28(2)",2475,1,0.7,33.3,85.1,0.1,1,0.1,7.21,"Chelsea","M(CR)","chelsea-fc",11900000
"2260","Ramires",2012,"28(7)",2521,1,0.6,36.9,85.2,0.1,1.8,0,7.09,"Chelsea","M(CR)","chelsea-fc",25500000
"2261","Ramires",2013,"29(1)",2610,2,1.1,46.4,83.8,0.3,2.9,0.1,7.07,"Chelsea","M(CR)","chelsea-fc",22950000
"2262","Ramires",2014,"11(12)",1102,4,0.4,23.6,79.9,0,0.8,0,6.68,"Chelsea","M(CR)","chelsea-fc",25500000
"2263","Sebastian Larsson",2009,"26(7)",2382,2,1,25.6,70.7,1.1,1,0.1,6.92,"Birmingham","M(CR)",NA,NA
"2264","Sebastian Larsson",2010,"31(4)",2833,6,1.8,33.5,76.3,2.2,1.9,0.1,6.94,"Birmingham","M(CR)",NA,NA
"2265","Sebastian Larsson",2011,"32",2710,2,1.7,30.7,74.1,2.1,1.4,0.1,7.1,"Sunderland","M(CR)","sunderland-afc",5100000
"2266","Sebastian Larsson",2012,"36(2)",3001,3,1.1,33.2,83.5,1.4,2.2,0,6.82,"Sunderland","M(CR)","sunderland-afc",6380000
"2267","Sebastian Larsson",2013,"24(7)",2220,3,1.6,33.5,81.4,1.2,2.2,0.1,6.72,"Sunderland","M(CR)","sunderland-afc",5950000
"2268","Sebastian Larsson",2014,"36",3061,3,1.6,38.5,81.8,1.6,2.5,0.1,7.01,"Sunderland","M(CR)","sunderland-afc",4250000
"2269","Sebastian Larsson",2015,"6(12)",548,1,0.4,13.1,75.4,0.3,0.6,0.1,6.29,"Sunderland","M(CR)","sunderland-afc",3400000
"2270","Stuart Holden",2010,"26",2296,2,1.3,36.4,75.5,1.4,2.7,0,7.43,"Bolton","M(CR)",NA,NA
"2271","Tamir Cohen",2009,"26(1)",2102,3,0.6,20.5,69.5,0,1,0.1,6.91,"Bolton","M(CR)",NA,NA
"2272","Tomas Rosicky",2009,"14(11)",1299,4,1.1,29.6,81.1,0.3,0.7,0.2,6.9,"Arsenal","M(CR)",NA,NA
"2273","Tomas Rosicky",2010,"8(13)",929,1,1.3,30.9,87.8,0.4,0.8,0.5,6.67,"Arsenal","M(CR)",NA,NA
"2274","Tomas Rosicky",2011,"19(9)",1760,4,1.5,45.5,85.3,0.5,1.3,0.4,6.93,"Arsenal","M(CR)",NA,NA
"2275","Tomas Rosicky",2013,"17(10)",1574,1,1.3,41.5,84.7,0.3,1.3,0.1,6.67,"Arsenal","M(CR)",NA,NA
"2276","Alessandro Diamanti",2009,"18(9)",1818,3,1.8,27.9,70.4,1.7,2.5,0.3,7.15,"West Ham","M(CR),FW","west-ham-united",2980000
"2277","Fabrice Muamba",2009,"35(1)",2948,0,0.4,22.5,70.9,0,1.3,0.1,6.82,"Bolton","M(CR),FW",NA,NA
"2278","Fabrice Muamba",2010,"32(4)",2599,0,0.4,21.5,73.4,0,0.8,0.1,6.61,"Bolton","M(CR),FW",NA,NA
"2279","Fabrice Muamba",2011,"18(2)",1330,1,0.4,18.3,75.7,0,1.2,0.1,6.75,"Bolton","M(CR),FW",NA,NA
"2280","Hatem Ben Arfa",2011,"16(10)",1560,5,1.3,22.2,81.6,0.4,1.7,0.2,6.89,"Newcastle United","M(CR),FW",NA,NA
"2281","Hatem Ben Arfa",2012,"16(3)",1462,2,1.4,28.1,81.4,0.6,2.6,0.2,7.04,"Newcastle United","M(CR),FW",NA,NA
"2282","Hatem Ben Arfa",2013,"13(14)",1305,3,1.1,19.4,84.4,0.7,0.9,0.1,6.74,"Newcastle United","M(CR),FW",NA,NA
"2283","Jamie Mackie",2011,"24(7)",2186,1,0.6,13.9,77.5,0.1,0.3,0,6.5,"Queens Park Rangers","M(CR),FW",NA,NA
"2284","Jamie Mackie",2012,"17(12)",1702,0,0.4,13.8,77.7,0.1,0.2,0,6.28,"Queens Park Rangers","M(CR),FW",NA,NA
"2285","Bakary Sako",2015,"11(9)",1074,1,0.5,16.8,82.1,0.7,0.8,0,6.61,"Crystal Palace","M(L)","crystal-palace",3400000
"2286","Denis Stracqualursi",2011,"7(14)",736,1,0.2,8.5,75.3,0,0,0.1,6.3,"Everton","M(L)","everton-fc",1700000
"2287","Jefferson Montero",2014,"15(15)",1570,7,0.9,13.6,74.8,0.6,0.2,0.1,6.91,"Swansea","M(L)","swansea-city",2810000
"2288","Jefferson Montero",2015,"14(9)",1360,2,1.1,15.9,75.9,0.9,0.2,0,6.63,"Swansea","M(L)","swansea-city",4250000
"2289","Jerome Thomas",2010,"32(1)",2590,5,1.2,24.2,85.6,0.5,0.3,0.1,6.88,"West Bromwich Albion","M(L)","west-bromwich-albion",680000
"2290","Jerome Thomas",2011,"26(3)",2004,1,1.1,21.9,82.5,0.6,0.1,0.1,6.68,"West Bromwich Albion","M(L)","west-bromwich-albion",2130000
"2291","Matthew Etherington",2009,"33(1)",2894,8,2,22.1,76.1,2.5,0.7,0.1,6.95,"Stoke","M(L)","stoke-city",3230000
"2292","Matthew Etherington",2010,"30(2)",2532,6,2.2,20.9,70.8,2.3,0.6,0.1,6.92,"Stoke","M(L)","stoke-city",3830000
"2293","Matthew Etherington",2011,"30",2383,7,1.7,18.7,75.9,2,0.8,0.1,6.73,"Stoke","M(L)","stoke-city",5530000
"2294","Matthew Etherington",2012,"21(10)",1724,0,1,13.8,81.4,1.1,0.5,0,6.34,"Stoke","M(L)","stoke-city",3400000
"2295","Stephen Hunt",2009,"27",2322,4,1.3,21.7,68.8,1.8,0.6,0,7.08,"Hull","M(L)","hull-city",2980000
"2296","Stephen Hunt",2010,"14(6)",1341,2,1.1,18.9,68.8,1.5,0.4,0,6.65,"Wolverhampton Wanderers","M(L)",NA,NA
"2297","Stephen Hunt",2011,"16(8)",1396,1,0.8,17,76.5,0.8,0.5,0,6.45,"Wolverhampton Wanderers","M(L)",NA,NA
"2298","John Utaka",2009,"10(8)",1048,2,1.1,15.3,79,0.2,0.4,0.2,6.53,"Portsmouth","M(L),FW",NA,NA
"2299","Ryan Babel",2009,"9(16)",954,1,0.7,14,81.8,0.2,0.4,0,6.61,"Liverpool","M(L),FW","liverpool-fc",7650000
"2300","Tuncay",2009,"13(17)",1285,2,0.4,12.1,69.6,0,0.5,0.1,6.44,"Stoke","M(L),FW",NA,NA
"2301","Aaron Lennon",2009,"20(2)",1805,9,1.9,25.6,84,1.4,0.7,0,7.33,"Tottenham","M(LR)","tottenham-hotspur",12750000
"2302","Aaron Lennon",2010,"25(9)",2366,2,1.9,24.5,84.4,1,0.6,0.1,6.84,"Tottenham","M(LR)","tottenham-hotspur",17850000
"2303","Aaron Lennon",2011,"19(4)",1582,5,1.7,24.7,86.1,0.6,0.3,0.1,6.83,"Tottenham","M(LR)","tottenham-hotspur",17850000
"2304","Aaron Lennon",2012,"33(1)",2840,7,2,25.9,84.5,0.4,0.5,0.1,7.03,"Tottenham","M(LR)","tottenham-hotspur",13600000
"2305","Aaron Lennon",2013,"26(1)",2187,3,1.4,28.5,85,0.6,0.4,0.1,6.73,"Tottenham","M(LR)","tottenham-hotspur",13600000
"2306","Aaron Lennon",2015,"17(8)",1540,0,0.9,19.1,81.1,0.3,0.5,0,6.73,"Everton","M(LR)","everton-fc",7650000
"2307","Ashkan Dejagah",2012,"13(8)",1193,1,1,22.3,80.6,0.3,0.4,0,6.63,"Fulham","M(LR)",NA,NA
"2308","Ashkan Dejagah",2013,"13(9)",1301,2,1,23.6,80,0.8,0.8,0,6.76,"Fulham","M(LR)",NA,NA
"2309","Chris Eagles",2009,"20(14)",1970,3,0.9,21.3,69.9,0.7,0.3,0.1,6.69,"Burnley","M(LR)","burnley-fc",1280000
"2310","Chris Eagles",2011,"26(8)",2306,6,1.5,25.6,74.2,1.4,0.5,0.1,6.89,"Bolton","M(LR)",NA,NA
"2311","Damien Duff",2009,"30(2)",2546,3,1.6,32.9,84.2,2.1,0.5,0.1,7.2,"Fulham","M(LR)",NA,NA
"2312","Damien Duff",2010,"22(2)",1884,2,1.2,26.5,83.8,1.5,0.6,0.1,6.81,"Fulham","M(LR)",NA,NA
"2313","Damien Duff",2011,"23(5)",2114,3,1.1,25.6,86.5,1.2,0.3,0,6.64,"Fulham","M(LR)",NA,NA
"2314","Damien Duff",2012,"27(4)",2338,7,1.3,23.2,86.9,1.4,0.4,0,6.69,"Fulham","M(LR)",NA,NA
"2315","Gabriel Obertan",2011,"18(5)",1563,3,1,24,75.3,0.4,0.6,0,6.51,"Newcastle United","M(LR)",NA,NA
"2316","George Boyd",2013,"9(20)",1198,2,0.6,14.2,83.8,0.6,0.4,0.1,6.48,"Hull","M(LR)","hull-city",1280000
"2317","George Boyd",2014,"35",3014,2,1,18.5,74.3,0.5,0.6,0,6.99,"Burnley","M(LR)","burnley-fc",1280000
"2318","George Boyd",2014,"35",3014,2,1,18.5,74.3,0.5,0.6,0,6.99,"Burnley","M(LR)","hull-city",1280000
"2319","George Boyd",2016,"10(3)",919,0,0.2,13.8,72.8,0.3,0.2,0,6.46,"Burnley","M(LR)","burnley-fc",3400000
"2320","Joe Cole",2009,"14(12)",1284,5,1.1,26.3,83.3,0.6,0.5,0.2,7.02,"Chelsea","M(LR)","chelsea-fc",17850000
"2321","Joe Cole",2010,"9(11)",797,1,0.5,20.7,83.6,0.1,0.6,0.1,6.41,"Liverpool","M(LR)","liverpool-fc",17850000
"2322","Joe Cole",2013,"6(14)",741,0,0.2,12.2,79.1,0.5,0.3,0,6.45,"West Ham","M(LR)","west-ham-united",3400000
"2323","Marc Albrighton",2010,"20(9)",1805,4,1.2,16.6,72.3,1.2,0.8,0,7.03,"Aston Villa","M(LR)",NA,NA
"2324","Marc Albrighton",2011,"15(11)",1490,2,0.9,17.4,71.5,1.4,0.6,0,6.7,"Aston Villa","M(LR)",NA,NA
"2325","Marc Albrighton",2013,"9(10)",968,4,1.8,18.8,72.3,2.2,1.3,0,6.81,"Aston Villa","M(LR)","leicester-city",3400000
"2326","Marc Albrighton",2014,"10(8)",1028,3,1.7,19.2,58.1,1.9,1.8,0,7.13,"Leicester","M(LR)","leicester-city",2130000
"2327","Marc Albrighton",2015,"34(4)",2769,6,1.6,24,63.8,1.4,1.5,0.1,7.05,"Leicester","M(LR)","leicester-city",1280000
"2328","Marc Albrighton",2016,"10(1)",778,0,1,26.2,66,0.8,2.2,0.1,6.53,"Leicester","M(LR)","leicester-city",5100000
"2329","Matthew Jarvis",2009,"30(4)",2658,3,1.7,22.4,80.4,2,0.3,0,6.84,"Wolverhampton Wanderers","M(LR)",NA,NA
"2330","Matthew Jarvis",2010,"34(3)",3056,6,1.8,22.8,77.4,1.9,0.3,0.1,6.67,"Wolverhampton Wanderers","M(LR)",NA,NA
"2331","Matthew Jarvis",2011,"31(6)",2821,4,1.7,22.6,82.7,2,0.4,0,6.76,"Wolverhampton Wanderers","M(LR)",NA,NA
"2332","Matthew Jarvis",2012,"29(3)",2565,0,1.4,18.5,74.8,1.9,0.4,0,6.6,"West Ham","M(LR)",NA,NA
"2333","Matthew Jarvis",2013,"23(9)",1950,3,1,12,77.7,1.1,0.1,0,6.45,"West Ham","M(LR)",NA,NA
"2334","Matthew Jarvis",2015,"13(6)",1021,1,0.9,13,77.3,0.9,0.5,0,6.29,"Norwich","M(LR)",NA,NA
"2335","Michael Kightly",2011,"14(4)",1195,1,1.4,21,74.6,1.9,0.9,0.2,6.59,"Wolverhampton Wanderers","M(LR)","watford-fc",1700000
"2336","Michael Kightly",2012,"14(8)",1198,1,0.5,12.5,73.5,0.7,0.4,0,6.51,"Stoke","M(LR)","stoke-city",1700000
"2337","Shaun Wright0Phillips",2009,"19(11)",1748,7,1.1,17.1,72.1,0.5,0.8,0,7,"Manchester City","M(LR)",NA,NA
"2338","Shaun Wright0Phillips",2011,"24(8)",2213,3,1,21.4,81,0.4,0.7,0.1,6.61,"Queens Park Rangers","M(LR)",NA,NA
"2339","Shaun Wright0Phillips",2012,"14(6)",1250,1,0.5,15.4,76.9,0.2,0.3,0,6.55,"Queens Park Rangers","M(LR)",NA,NA
"2340","Alexis Sanchez",2014,"34(1)",2953,8,2.3,42,76.8,0.6,1.3,0.4,7.81,"Arsenal","M(LR),FW","arsenal-fc",25500000
"2341","Alexis Sanchez",2015,"28(2)",2446,4,2.1,47.8,79.6,0.4,2.4,0.4,7.72,"Arsenal","M(LR),FW","arsenal-fc",38250000
"2342","Alexis Sanchez",2016,"13(1)",1179,4,2.5,41,74,0.4,1.4,0.2,7.98,"Arsenal","M(LR),FW","arsenal-fc",46750000
"2343","Andre Schurrle",2013,"15(15)",1327,2,1,17.2,82.6,0.6,0.4,0,6.88,"Chelsea","M(LR),FW","chelsea-fc",21250000
"2344","Craig Fagan",2009,"20(5)",1828,2,0.4,20.2,66.7,0.8,0.6,0.1,6.45,"Hull","M(LR),FW","hull-city",1530000
"2345","Gervinho",2011,"19(9)",1688,6,1.3,22,84.7,0.1,0,0.1,6.8,"Arsenal","M(LR),FW","arsenal-fc",13600000
"2346","Loic Remy",2013,"24(2)",2103,3,1.2,22.5,80.8,0.4,0.6,0.1,7.15,"Newcastle United","M(LR),FW",NA,NA
"2347","Loic Remy",2014,"6(13)",668,0,0.3,12,82.5,0.1,0.2,0,6.58,"Chelsea","M(LR),FW",NA,NA
"2348","Matt Phillips",2010,"6(21)",1035,4,0.7,12.2,70.3,0.7,0.2,0.1,6.5,"Blackpool","M(LR),FW",NA,NA
"2349","Matt Phillips",2014,"20(5)",1823,8,1.4,20.5,64.7,1.4,0.9,0,6.79,"Queens Park Rangers","M(LR),FW",NA,NA
"2350","Matt Phillips",2016,"13",1054,4,1.6,17.2,65.5,1.4,0.8,0,7.11,"West Bromwich Albion","M(LR),FW","west-bromwich-albion",5100000
"2351","Theo Walcott",2009,"12(11)",1132,2,1,14.6,83,0.8,0.2,0.2,6.75,"Arsenal","M(LR),FW","arsenal-fc",11050000
"2352","Theo Walcott",2010,"19(9)",1696,7,0.8,16.1,82.9,0.4,0.1,0.1,6.92,"Arsenal","M(LR),FW","arsenal-fc",11050000
"2353","Theo Walcott",2011,"32(3)",2749,8,1.2,24,79.3,0.5,0,0.1,6.86,"Arsenal","M(LR),FW","arsenal-fc",11900000
"2354","Theo Walcott",2012,"24(8)",2286,10,1.3,16.6,83.1,0.9,0.3,0.1,7.24,"Arsenal","M(LR),FW","arsenal-fc",16150000
"2355","Theo Walcott",2015,"15(13)",1375,2,0.6,11.1,79.7,0.1,0.1,0.1,6.58,"Arsenal","M(LR),FW","arsenal-fc",23800000
"2356","Theo Walcott",2016,"13",1096,2,0.8,26,75.4,0.5,0.2,0.1,7.42,"Arsenal","M(LR),FW","arsenal-fc",18700000
"2357","Adama Traore",2016,"5(3)",500,0,0.4,13.1,66.7,0.5,0.6,0,7.2,"Middlesbrough","M(R)","middlesbrough-fc",5950000
"2358","Jermaine Pennant",2010,"26(3)",2033,8,1.8,17,73,2.1,0.8,0.2,7.11,"Stoke","M(R)","stoke-city",2550000
"2359","Jermaine Pennant",2011,"18(9)",1706,6,1.6,17.9,73,2.6,1,0,6.79,"Stoke","M(R)","stoke-city",2980000
"2360","Jesus Navas",2013,"18(12)",1775,7,1.9,34.2,85.8,1.5,1.8,0.1,7.15,"Manchester City","M(R)","manchester-city",1.7e+07
"2361","Jesus Navas",2014,"23(12)",2248,8,2.3,38.2,85.4,1.7,0.7,0.1,6.98,"Manchester City","M(R)","manchester-city",1.7e+07
"2362","Jesus Navas",2015,"24(10)",2282,7,1.6,37.3,83.4,1,1.2,0.1,6.86,"Manchester City","M(R)","manchester-city",1.7e+07
"2363","Jesus Navas",2016,"4(5)",376,0,1.1,20.8,82.9,0.7,0.8,0,6.45,"Manchester City","M(R)","manchester-city",1.7e+07
"2364","Nathan Dyer",2011,"29(5)",2376,2,1.3,30.3,84.4,0.3,0.5,0.1,6.95,"Swansea","M(R)","swansea-city",850000
"2365","Nathan Dyer",2012,"25(12)",2309,4,1,32.8,86.7,0.4,0.4,0.1,6.63,"Swansea","M(R)","swansea-city",3830000
"2366","Nathan Dyer",2013,"19(8)",1751,2,1,30.2,86.9,0.4,0.2,0,6.8,"Swansea","M(R)","swansea-city",3830000
"2367","Nathan Dyer",2014,"23(9)",1868,2,0.7,22.1,84.7,0.3,0.3,0,6.54,"Swansea","M(R)","swansea-city",3830000
"2368","Ronnie Stam",2010,"17(8)",1587,0,0.9,32.3,81.7,0.5,1.6,0.1,6.63,"Wigan","M(R)",NA,NA
"2369","Ronnie Stam",2011,"13(7)",1224,1,0.5,22.2,85.6,0.7,1.3,0,6.43,"Wigan","M(R)",NA,NA
"2370","Yossi Benayoun",2009,"19(11)",1855,4,1.6,27.2,81.1,0.2,0.6,0.2,6.99,"Liverpool","M(R)","liverpool-fc",8080000
"2371","Yossi Benayoun",2011,"10(9)",901,1,0.7,21.5,81.1,0,0.3,0.2,6.72,"Arsenal","M(R)","arsenal-fc",9350000
"2372","Yossi Benayoun",2011,"10(9)",901,1,0.7,21.5,81.1,0,0.3,0.2,6.72,"Arsenal","M(R)","chelsea-fc",9350000
"2373","Daniel Sturridge",2011,"28(2)",2269,3,0.8,23.4,81.6,0.2,1.3,0.2,6.88,"Chelsea","M(R),FW","chelsea-fc",4250000
"2374","Daniel Sturridge",2013,"26(3)",2277,7,1,25.5,79.3,0,1.5,0.2,7.45,"Liverpool","M(R),FW","liverpool-fc",12750000
"2375","Daniel Sturridge",2016,"4(5)",379,1,0.6,16,72.2,0.1,0.9,0.1,6.6,"Liverpool","M(R),FW","liverpool-fc",21250000
"2376","Lynden Gooch",2016,"4(5)",324,0,0.4,9.4,75.3,0.4,0.3,0,6.29,"Sunderland","Midfielder","sunderland-afc",425000
"2377","Nick Barmby",2009,"6(14)",752,0,0.4,12.4,67.7,0.2,0.3,0.1,6.31,"Hull","Midfielder","hull-city",510000
