"","Name","Season","Apps","Mins","Assists","KeyP","AvgP","PS","Crosses","LongB","ThrB","Rating","Team.x","Meta","Team.y","Cost"
"2132","Samir Nasri",2012,"22(6)",1807,7,2,42.5,90.8,1.1,1.5,0.1,6.89,"Manchester City","M(CLR)","manchester-city",21250000
"2133","Samir Nasri",2013,"29(5)",2499,7,2.7,55.9,91.5,1.9,1.7,0.2,7.34,"Manchester City","M(CLR)","manchester-city",17850000
"2134","Samir Nasri",2014,"18(6)",1580,6,2.2,51.2,90.2,0.8,0.6,0.1,6.94,"Manchester City","M(CLR)","manchester-city",18700000
"2135","Santi Cazorla",2012,"37(1)",3311,11,2.6,65,86.8,1.2,4.9,0.8,7.86,"Arsenal","M(CLR)","arsenal-fc",1.7e+07
"2136","Santi Cazorla",2013,"30(1)",2597,8,2.2,62.5,86.3,1.2,3.1,0.3,7.36,"Arsenal","M(CLR)","arsenal-fc",21250000
"2137","Santi Cazorla",2014,"33(4)",2992,11,2.1,64,89,1.1,2.2,0.2,7.6,"Arsenal","M(CLR)","arsenal-fc",25500000
"2138","Santi Cazorla",2016,"7(1)",619,2,1.3,70,91.3,1.1,2.5,0,7.04,"Arsenal","M(CLR)","arsenal-fc",1.7e+07
"2139","Stephane Sessegnon",2011,"36",3133,9,2,29.8,81.4,0.4,1.4,0.1,6.96,"Sunderland","M(CLR)",NA,NA
"2140","Stephane Sessegnon",2012,"34(1)",2902,3,1.1,26.2,83.9,0.3,2,0.1,6.71,"Sunderland","M(CLR)",NA,NA
"2141","Stephane Sessegnon",2013,"23(3)",1963,1,1.5,31.5,86.7,0.2,1.3,0,6.77,"West Bromwich Albion","M(CLR)",NA,NA
"2142","Stephane Sessegnon",2014,"20(8)",1765,3,1.1,24.4,84.8,0.1,0.6,0.1,6.54,"West Bromwich Albion","M(CLR)",NA,NA
"2143","Stephane Sessegnon",2015,"21(4)",1761,2,1.1,22.1,80.1,0.8,0.4,0.1,6.81,"West Bromwich Albion","M(CLR)",NA,NA
"2144","Steven Davis",2012,"22(10)",2073,1,0.9,40.9,85.3,0.7,1.2,0.2,6.66,"Southampton","M(CLR)","southampton-fc",4250000
"2145","Steven Davis",2013,"28(6)",2502,7,1.7,53.8,84.5,0.9,3.3,0.1,6.92,"Southampton","M(CLR)","southampton-fc",3400000
"2146","Steven Davis",2014,"32(3)",2651,2,1.4,48.7,85.3,0.7,3.1,0.1,6.81,"Southampton","M(CLR)","southampton-fc",4680000
