"","match_point","match_flag","coach_name","season_edits"
"3507",0,"lose","Brian Laws",2012
"3508",3,"win","Brian Laws",2012
"3509",0,"lose","Brian Laws",2012
"3510",0,"lose","Brian Laws",2012
"3511",0,"lose","Brian Laws",2012
"3512",3,"win","Brian Laws",2012
"3513",3,"win","Brian Laws",2012
"3514",1,"draw","Brian Laws",2012
"3515",1,"draw","Brian Laws",2012
"3516",0,"lose","Brian Laws",2012
"3517",3,"win","Brian Laws",2012
"3518",0,"lose","Brian Laws",2012
"3519",1,"draw","Brian Laws",2012
"3520",3,"win","Brian Laws",2012
"3521",0,"lose","Brian Laws",2012
"3522",3,"win","Brian Laws",2010
"3523",3,"win","Brian Laws",2010
"3524",3,"win","Brian Laws",2010
"3525",1,"draw","Brian Laws",2010
"3526",0,"lose","Brian Laws",2010
"3527",3,"win","Brian Laws",2010
"3528",1,"draw","Brian Laws",2010
"3529",1,"draw","Brian Laws",2010
"3530",1,"draw","Brian Laws",2010
"3531",3,"win","Brian Laws",2010
"3532",3,"win","Brian Laws",2010
"3533",1,"draw","Brian Laws",2010
"3534",3,"win","Brian Laws",2009
"3535",0,"lose","Brian Laws",2009
"3536",3,"win","Brian Laws",2009
"3537",0,"lose","Brian Laws",2009
"3538",0,"lose","Brian Laws",2009
"3539",0,"lose","Brian Laws",2009
"3540",0,"lose","Brian Laws",2009
"3541",3,"win","Brian Laws",2009
"3542",0,"lose","Brian Laws",2009
"3543",0,"lose","Brian Laws",2009
"3544",0,"lose","Brian Laws",2009
"3545",0,"lose","Brian Laws",2009
"3546",0,"lose","Brian Laws",2009
"3547",0,"lose","Brian Laws",2009
"3548",3,"win","Brian Laws",2009
"3549",1,"draw","Brian Laws",2009
"3550",0,"lose","Brian Laws",2009
"3551",1,"draw","Brian Laws",2009
"3552",0,"lose","Brian Laws",2009
"3553",0,"lose","Brian Laws",2009
"3554",3,"win","Brian Laws",2009
"3555",3,"win","Brian Laws",2008
"3556",3,"win","Brian Laws",2008
"3557",0,"lose","Brian Laws",2008
"3558",1,"draw","Brian Laws",2008
"3559",1,"draw","Brian Laws",2008
"3560",0,"lose","Brian Laws",2008
"3561",3,"win","Brian Laws",2008
"3562",0,"lose","Brian Laws",2008
"3563",1,"draw","Brian Laws",2008
"3564",3,"win","Brian Laws",2008
"3565",0,"lose","Brian Laws",2008
"3566",1,"draw","Brian Laws",2008
"3567",1,"draw","Brian Laws",2008
"3568",1,"draw","Brian Laws",2008
"3569",3,"win","Brian Laws",2008
"3570",0,"lose","Brian Laws",2008
"3571",1,"draw","Brian Laws",2008
"3572",0,"lose","Brian Laws",2008
"3573",3,"win","Brian Laws",2008
"3574",3,"win","Brian Laws",2008
"3575",1,"draw","Brian Laws",2008
"3576",3,"win","Brian Laws",2008
"3577",1,"draw","Brian Laws",2008
"3578",0,"lose","Brian Laws",2008
"3579",3,"win","Brian Laws",2007
"3580",0,"lose","Brian Laws",2007
"3581",1,"draw","Brian Laws",2007
"3582",1,"draw","Brian Laws",2007
"3583",1,"draw","Brian Laws",2007
"3584",3,"win","Brian Laws",2007
"3585",0,"lose","Brian Laws",2007
"3586",3,"win","Brian Laws",2007
"3587",0,"lose","Brian Laws",2007
"3588",0,"lose","Brian Laws",2007
"3589",3,"win","Brian Laws",2007
"3590",1,"draw","Brian Laws",2007
"3591",0,"lose","Brian Laws",2007
"3592",0,"lose","Brian Laws",2007
"3593",1,"draw","Brian Laws",2007
"3594",3,"win","Brian Laws",2007
"3595",3,"win","Brian Laws",2007
"3596",3,"win","Brian Laws",2007
"3597",0,"lose","Brian Laws",2007
"3598",0,"lose","Brian Laws",2007
"3599",3,"win","Brian Laws",2007
"3600",3,"win","Brian Laws",2007
"3601",0,"lose","Brian Laws",2007
"3602",3,"win","Brian Laws",2007
"3603",0,"lose","Brian Laws",2007
"3604",0,"lose","Brian Laws",2007
"3605",0,"lose","Brian Laws",2006
"3606",3,"win","Brian Laws",2006
"3607",3,"win","Brian Laws",2006
"3608",1,"draw","Brian Laws",2006
"3609",1,"draw","Brian Laws",2006
"3610",3,"win","Brian Laws",2006
"3611",0,"lose","Brian Laws",2006
"3612",0,"lose","Brian Laws",2006
"3613",0,"lose","Brian Laws",2006
"3614",0,"lose","Brian Laws",2006
"3615",0,"lose","Brian Laws",2006
"3616",3,"win","Brian Laws",2006
"3617",0,"lose","Brian Laws",2006
"3618",3,"win","Brian Laws",2006
"3619",1,"draw","Brian Laws",2006
"3620",3,"win","Brian Laws",2006
"3621",3,"win","Brian Laws",2006
"3622",0,"lose","Brian Laws",2006
"3623",3,"win","Brian Laws",2006
"3624",1,"draw","Brian Laws",2006
"3625",3,"win","Brian Laws",2006
"3626",3,"win","Brian Laws",2006
"3627",0,"lose","Brian Laws",2006
"3628",1,"draw","Brian Laws",2006
"3629",1,"draw","Brian Laws",2005
"3630",1,"draw","Brian Laws",2005
"3631",3,"win","Brian Laws",2005
"3632",0,"lose","Brian Laws",2005
"3633",3,"win","Brian Laws",2005
"3634",0,"lose","Brian Laws",2005
"3635",3,"win","Brian Laws",2005
"3636",0,"lose","Brian Laws",2005
"3637",0,"lose","Brian Laws",2005
"3638",0,"lose","Brian Laws",2005
"3639",1,"draw","Brian Laws",2005
"3640",1,"draw","Brian Laws",2005
"3641",3,"win","Brian Laws",2005
"3642",0,"lose","Brian Laws",2005
"3643",0,"lose","Brian Laws",2005
"3644",3,"win","Brian Laws",2005
"3645",1,"draw","Brian Laws",2005
"3646",0,"lose","Brian Laws",2005
"3647",0,"lose","Brian Laws",2005
"3648",3,"win","Brian Laws",2005
"3649",1,"draw","Brian Laws",2005
"3650",3,"win","Brian Laws",2005
"3651",3,"win","Brian Laws",2005
"3652",1,"draw","Brian Laws",2004
"3653",1,"draw","Brian Laws",2004
"3654",3,"win","Brian Laws",2004
"3655",0,"lose","Brian Laws",2004
"3656",1,"draw","Brian Laws",2004
"3657",3,"win","Brian Laws",2004
"3658",0,"lose","Brian Laws",2004
"3659",0,"lose","Brian Laws",2004
"3660",3,"win","Brian Laws",2004
"3661",0,"lose","Brian Laws",2004
"3662",0,"lose","Brian Laws",2004
"3663",0,"lose","Brian Laws",2004
"3664",1,"draw","Brian Laws",2004
"3665",3,"win","Brian Laws",2004
"3666",3,"win","Brian Laws",2004
"3667",3,"win","Brian Laws",2004
"3668",3,"win","Brian Laws",2004
"3669",0,"lose","Brian Laws",2004
"3670",0,"lose","Brian Laws",2004
"3671",3,"win","Brian Laws",2004
"3672",1,"draw","Brian Laws",2004
"3673",1,"draw","Brian Laws",2004
"3674",1,"draw","Brian Laws",2004
"3675",3,"win","Brian Laws",2004
"3676",0,"lose","Brian Laws",2013
"3677",1,"draw","Brian Laws",2013
"3678",3,"win","Brian Laws",2013
"3679",0,"lose","Brian Laws",2013
"3680",1,"draw","Brian Laws",2013
"3681",3,"win","Brian Laws",2013
"3682",0,"lose","Brian Laws",2013
