"","match_point","match_flag","coach_name","season_edits"
"3800",0,"lose","Brian Laws",2006
"3801",1,"draw","Brian Laws",2006
"3802",3,"win","Brian Laws",2006
"3803",3,"win","Brian Laws",2006
"3804",3,"win","Brian Laws",2006
"3805",3,"win","Brian Laws",2006
"3806",0,"lose","Brian Laws",2006
"3807",1,"draw","Brian Laws",2006
"3808",1,"draw","Brian Laws",2006
"3809",0,"lose","Brian Laws",2006
"3810",3,"win","Brian Laws",2005
"3811",0,"lose","Brian Laws",2005
"3812",1,"draw","Brian Laws",2005
"3813",1,"draw","Brian Laws",2005
"3814",3,"win","Brian Laws",2005
"3815",3,"win","Brian Laws",2005
"3816",1,"draw","Brian Laws",2005
"3817",1,"draw","Brian Laws",2005
"3818",3,"win","Brian Laws",2005
"3819",1,"draw","Brian Laws",2005
"3820",1,"draw","Brian Laws",2005
