"","Name","Season","Apps","Mins","Assists","KeyP","AvgP","PS","Crosses","LongB","ThrB","Rating","Team.x","Meta","Team.y","Cost"
"1596","Hugo Lloris",2012,"27",2430,0,0,24.3,50.4,0,5.7,0,6.64,"Tottenham","GK","tottenham-hotspur",16150000
"1597","Hugo Lloris",2013,"37",3330,0,0,26,45.3,0,6.2,0,6.72,"Tottenham","GK","tottenham-hotspur",12750000
"1598","Hugo Lloris",2014,"35",3064,0,0,26.1,60.6,0,7.2,0,6.89,"Tottenham","GK","tottenham-hotspur",13600000
"1599","Hugo Lloris",2015,"37",3330,0,0,28.3,63.8,0,6.8,0,6.75,"Tottenham","GK","tottenham-hotspur",1.7e+07
"1600","Hugo Lloris",2016,"12",1025,0,0,29.7,71.9,0,7.1,0,6.66,"Tottenham","GK","tottenham-hotspur",20400000
"1601","Jack Butland",2015,"31",2790,0,0,28.5,49.7,0,8.3,0,6.9,"Stoke","GK","stoke-city",2980000
"1602","Joe Hart",2009,"36",3240,0,0.1,37,35.2,0,11.3,0,6.89,"Birmingham","GK","manchester-city",5530000
"1603","Joe Hart",2010,"38",3420,0,0.1,24.1,44,0,6.2,0,6.92,"Manchester City","GK","manchester-city",5950000
"1604","Joe Hart",2011,"38",3420,0,0.1,21.6,50.9,0,5,0,6.82,"Manchester City","GK","manchester-city",12750000
"1605","Joe Hart",2012,"38",3420,0,0,21.2,58.8,0,6.4,0,6.61,"Manchester City","GK","manchester-city",19980000
"1606","Joe Hart",2013,"31",2790,0,0,22.9,47.3,0,6.2,0,6.69,"Manchester City","GK","manchester-city",20400000
"1607","Joe Hart",2014,"36",3240,0,0,22.3,47.6,0,5,0,6.75,"Manchester City","GK","manchester-city",13600000
"1608","Joe Hart",2015,"35",3110,0,0.1,20.6,52.6,0,5.1,0,6.7,"Manchester City","GK","manchester-city",13600000
"1609","John Ruddy",2011,"37",3320,0,0,28.1,51.2,0,10.3,0,6.71,"Norwich","GK",NA,NA
"1610","John Ruddy",2013,"38",3420,0,0.1,30.2,39.1,0,8.2,0,6.65,"Norwich","GK",NA,NA
"1611","John Ruddy",2015,"27",2430,0,0,28.6,48.4,0,8.1,0,6.44,"Norwich","GK",NA,NA
"1612","Jordan Pickford",2016,"12",1080,0,0.1,32.1,43.4,0,10.1,0,7.09,"Sunderland","GK","sunderland-afc",850000
"1613","Jose Reina",2009,"38",3420,1,0,27.2,59.9,0,7.5,0,6.9,"Liverpool","GK",NA,NA
"1614","Jose Reina",2010,"38",3420,0,0.1,31.2,55.2,0,9.8,0,6.7,"Liverpool","GK",NA,NA
"1615","Jose Reina",2011,"34",3053,0,0.1,30.5,64.2,0,9.4,0,6.47,"Liverpool","GK",NA,NA
"1616","Jose Reina",2012,"31",2790,0,0,30.9,71.3,0,8.1,0,6.67,"Liverpool","GK",NA,NA
"1617","Julian Speroni",2013,"37",3330,0,0.1,28.1,40.7,0,9,0,6.8,"Crystal Palace","GK",NA,NA
"1618","Julian Speroni",2014,"36",3205,0,0,24.9,42.5,0,8.4,0,6.5,"Crystal Palace","GK",NA,NA
"1619","Julio Cesar",2012,"24",2101,1,0.1,25,43.3,0,6.8,0,6.78,"Queens Park Rangers","GK",NA,NA
"1620","Jussi Jaaskelainen",2009,"38",3420,0,0.1,34.2,44.8,0,14.3,0,6.82,"Bolton","GK",NA,NA
"1621","Jussi Jaaskelainen",2010,"35",3096,0,0,34.6,52.1,0,16.2,0,6.76,"Bolton","GK",NA,NA
"1622","Jussi Jaaskelainen",2011,"18",1620,0,0.1,37,47.9,0,15.5,0,6.54,"Bolton","GK",NA,NA
"1623","Jussi Jaaskelainen",2012,"38",3420,0,0.1,27.3,52.4,0,12.1,0,6.91,"West Ham","GK","west-ham-united",850000
"1624","Jussi Jaaskelainen",2013,"18",1620,1,0.1,24.5,42.6,0,7.7,0,6.9,"West Ham","GK","west-ham-united",850000
"1625","Kasper Schmeichel",2014,"24",2160,0,0.1,29.4,41.1,0,9.8,0,6.63,"Leicester","GK","leicester-city",2980000
"1626","Kasper Schmeichel",2015,"38",3420,0,0.1,30.2,35.7,0,8.8,0,6.78,"Leicester","GK","leicester-city",2980000
"1627","Kasper Schmeichel",2016,"8",687,0,0,28.5,44.7,0,10.3,0,6.87,"Leicester","GK","leicester-city",6800000
"1628","Lee Grant",2016,"9",810,0,0,31.9,56.8,0,11.7,0,7.05,"Stoke","GK","stoke-city",425000
"1629","Loris Karius",2016,"9",810,0,0,26.8,63.5,0,4.3,0,6.45,"Liverpool","GK","liverpool-fc",7650000
"1630","Lukasz Fabianski",2014,"37",3308,0,0,28.1,55.8,0,7.8,0,7.09,"Swansea","GK","swansea-city",1700000
"1631","Lukasz Fabianski",2015,"37",3330,1,0.1,27,58,0,7.3,0,6.87,"Swansea","GK","swansea-city",3400000
"1632","Lukasz Fabianski",2016,"14",1260,0,0,26.6,59.4,0,9.1,0,6.77,"Swansea","GK","swansea-city",7650000
"1633","Maarten Stekelenburg",2013,"19",1682,0,0.1,30.2,47.4,0,9,0,6.57,"Fulham","GK",NA,NA
"1634","Maarten Stekelenburg",2016,"13",1170,0,0,24.4,54.3,0,7.3,0,6.56,"Everton","GK","everton-fc",1700000
"1635","Manuel Almunia",2009,"29",2610,1,0,27.5,43.9,0,6.4,0,6.65,"Arsenal","GK","arsenal-fc",7230000
"1636","Marcus Hahnemann",2009,"25",2250,0,0,42,35.5,0,13.6,0,7.18,"Wolverhampton Wanderers","GK",NA,NA
"1637","Mark Bunn",2012,"22(1)",1854,0,0,27.5,37.6,0,9.3,0,6.41,"Norwich","GK",NA,NA
"1638","Mark Schwarzer",2009,"37",3330,0,0,31.2,46.6,0,9.3,0,6.93,"Fulham","GK",NA,NA
"1639","Mark Schwarzer",2010,"31",2790,0,0.1,30.4,45.5,0,9.3,0,6.79,"Fulham","GK",NA,NA
"1640","Mark Schwarzer",2011,"30",2700,0,0,30.5,54.1,0,8.7,0,6.68,"Fulham","GK",NA,NA
"1641","Mark Schwarzer",2012,"36",3240,0,0,32.2,51.3,0,8.6,0,6.9,"Fulham","GK",NA,NA
"1642","Matthew Gilks",2010,"18",1576,0,0,32.8,46.9,0,9.9,0,6.52,"Blackpool","GK",NA,NA
"1643","Michel Vorm",2011,"37",3330,0,0,37.3,66.8,0,9.8,0,7.06,"Swansea","GK","swansea-city",4250000
"1644","Michel Vorm",2012,"26",2312,0,0.1,28.7,59.8,0,6.8,0,6.68,"Swansea","GK","swansea-city",7230000
"1645","Michel Vorm",2013,"26",2340,0,0,23.3,61.1,0,5.3,0,6.47,"Swansea","GK","swansea-city",7230000
"1646","Paddy Kenny",2011,"33",2970,0,0.1,29.5,44.3,0,11.3,0,6.52,"Queens Park Rangers","GK",NA,NA
"1647","Paul Robinson",2009,"35",3086,1,0.3,33,34.3,0,10.5,0,6.65,"Blackburn","GK",NA,NA
"1648","Paul Robinson",2010,"36",3196,1,0.3,32.1,36.1,0,10.4,0,6.75,"Blackburn","GK",NA,NA
"1649","Paul Robinson",2011,"34",3060,0,0.1,34.2,27.4,0,8.1,0,6.21,"Blackburn","GK",NA,NA
"1650","Petr Cech",2009,"34",3021,1,0.2,25.3,55.7,0,7.5,0,6.87,"Chelsea","GK","chelsea-fc",23380000
"1651","Petr Cech",2010,"38",3420,1,0.1,26,52.8,0,7.3,0,6.85,"Chelsea","GK","chelsea-fc",22100000
"1652","Petr Cech",2011,"34",3060,0,0,30.5,62.7,0,9,0,6.74,"Chelsea","GK","chelsea-fc",22100000
"1653","Petr Cech",2012,"36",3196,0,0,26.8,57.1,0,7.6,0,6.91,"Chelsea","GK","chelsea-fc",21250000
"1654","Petr Cech",2013,"34",3060,0,0.1,23,52.9,0,6.7,0,6.82,"Chelsea","GK","chelsea-fc",21250000
"1655","Petr Cech",2015,"34",3060,0,0,25.1,59,0,8.2,0,6.94,"Arsenal","GK","arsenal-fc",10200000
"1656","Petr Cech",2016,"14",1260,0,0,23.7,52.7,0,5.4,0,6.76,"Arsenal","GK","arsenal-fc",10200000
"1657","Richard Kingson",2010,"19(1)",1697,0,0,34.2,48.6,0,9.9,0,6.56,"Blackpool","GK",NA,NA
"1658","Robert Elliot",2015,"21",1890,0,0,28.7,51.3,0,11,0,6.63,"Newcastle United","GK",NA,NA
"1659","Robert Green",2009,"38",3403,0,0,30.9,42.7,0,9.7,0,6.6,"West Ham","GK","west-ham-united",6800000
"1660","Robert Green",2010,"37",3330,0,0.1,30.3,46.6,0,11.1,0,6.74,"West Ham","GK","west-ham-united",6800000
"1661","Robert Green",2014,"36",3184,0,0.1,29.4,43.6,0,10.5,0,6.65,"Queens Park Rangers","GK",NA,NA
"1662","Scott Carson",2010,"32",2880,0,0,28.6,48.7,0,9.2,0,6.31,"West Bromwich Albion","GK","west-bromwich-albion",3190000
"1663","Shay Given",2009,"35",3136,0,0,29.7,43.2,0,8.2,0,6.68,"Manchester City","GK","manchester-city",7230000
"1664","Shay Given",2011,"32",2828,0,0,27,48.8,0,9.9,0,6.61,"Aston Villa","GK",NA,NA
"1665","Simon Mignolet",2010,"23",2070,0,0,31.5,39.9,0,10.7,0,6.72,"Sunderland","GK","sunderland-afc",2130000
"1666","Simon Mignolet",2011,"29",2573,0,0,30.1,38.4,0,9.8,0,6.86,"Sunderland","GK","sunderland-afc",3400000
"1667","Simon Mignolet",2012,"38",3420,0,0,29,42.2,0,10.1,0,6.99,"Sunderland","GK","sunderland-afc",4680000
"1668","Simon Mignolet",2013,"38",3420,0,0,27.6,64.5,0,5.8,0,6.67,"Liverpool","GK","liverpool-fc",4680000
"1669","Simon Mignolet",2014,"35(1)",3224,0,0,24.9,61.9,0,5.6,0,6.73,"Liverpool","GK","liverpool-fc",10200000
"1670","Simon Mignolet",2015,"34",3060,0,0,23.6,60.6,0,5.6,0,6.52,"Liverpool","GK","liverpool-fc",10200000
"1671","Steve Harper",2010,"18",1565,0,0.1,30.2,44.3,0,11.7,0,6.66,"Newcastle United","GK",NA,NA
"1672","Steve Mandanda",2016,"9",810,0,0,29.1,59.2,0,9.7,0,6.26,"Crystal Palace","GK","crystal-palace",8500000
"1673","Thibaut Courtois",2014,"32",2814,0,0.1,23.2,49.5,0,7.2,0,6.78,"Chelsea","GK","chelsea-fc",21250000
"1674","Thibaut Courtois",2015,"23",2020,0,0,22.7,48.2,0,5.8,0,6.66,"Chelsea","GK","chelsea-fc",25500000
"1675","Thibaut Courtois",2016,"14",1260,0,0,20.8,62.2,0,4.6,0,6.72,"Chelsea","GK","chelsea-fc",29750000
"1676","Thomas S©ªrensen",2009,"33",2867,0,0.1,31.5,35.9,0,10.4,0,6.94,"Stoke","GK",NA,NA
"1677","Tim Howard",2009,"38",3420,0,0,24.4,49,0,8.2,0,6.73,"Everton","GK","everton-fc",7230000
"1678","Tim Howard",2010,"38",3420,0,0,27.2,49.7,0,10.2,0,6.6,"Everton","GK","everton-fc",8080000
"1679","Tim Howard",2011,"38",3420,0,0,25.2,49.1,0,7.7,0,6.74,"Everton","GK","everton-fc",8500000
"1680","Tim Howard",2012,"36",3240,0,0,25.7,57.1,0,9.1,0,6.73,"Everton","GK","everton-fc",3400000
"1681","Tim Howard",2013,"37",3263,1,0.1,28,59.8,0,6,0,6.89,"Everton","GK","everton-fc",2980000
"1682","Tim Howard",2014,"32",2836,0,0,26.8,57.5,0,5.8,0,6.44,"Everton","GK","everton-fc",1700000
"1683","Tim Howard",2015,"25",2250,0,0,24.2,58.4,0,5.4,0,6.78,"Everton","GK","everton-fc",1700000
"1684","Tim Krul",2010,"20(1)",1855,0,0.1,31,47.9,0,12.3,0,6.43,"Newcastle United","GK",NA,NA
